resume_text,category
"Business Development Associate with 5 years of experience. Generated new business leads and converted them into long term clients. Key skills include b2b sales, crm, client relationship management, target achievement, sales forecasting. Familiar with tools such as hubspot, zoho crm, salesforce. Education, Master of Business Administration.",Sales
"UI UX Designer with 2 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include wireframing, figma, bootstrap, ux research, photoshop. Familiar with tools such as figma, adobe xd. Education, Diploma in relevant discipline.",Web Designing
"Data Scientist with 8 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include feature engineering, statistics, pytorch, machine learning, nlp, data visualization. Familiar with tools such as git, power bi, tableau. Education, Master of Business Administration.",Data Science
"Front End Developer with 7 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include photoshop, adobe xd, ui design, css, wireframing, figma. Familiar with tools such as vs code, git, adobe xd, figma. Education, Bachelor of Technology in relevant field.",Web Designing
"Data Analyst Intern with 2 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include feature engineering, statistics, numpy, machine learning, python. Familiar with tools such as docker, power bi. Education, Diploma in relevant discipline.",Data Science
"Design Engineer with 8 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include root cause analysis, autocad, cad modeling, project planning, manufacturing processes. Familiar with tools such as autocad, ansys. Education, Bachelor of Engineering.",Mechanical Engineering
"Account Manager with 7 years of experience. Consistently exceeded monthly sales targets through strong client relationships. Key skills include negotiation, crm, client relationship management, b2b sales, market research. Familiar with tools such as hubspot, zoho crm. Education, Bachelor of Engineering.",Sales
"Mechanical Engineer with 8 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include product design, six sigma, autocad, solidworks, quality control, cad modeling, root cause analysis, thermodynamics. Familiar with tools such as autocad, ms project, ansys, solidworks. Education, Bachelor of Technology in relevant field.",Mechanical Engineering
"Software Engineer with 5 years of experience. Built REST APIs and integrated them with front end applications. Key skills include node js, javascript, c++, algorithms, java. Familiar with tools such as docker, aws, git, postman. Education, Bachelor of Technology in relevant field.",Software Development
"HR Executive with 1 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include recruitment, conflict resolution, employee engagement, onboarding, labor law. Familiar with tools such as workday, excel. Education, Bachelor of Engineering.",Human Resources
"Backend Developer with 1 years of experience. Built REST APIs and integrated them with front end applications. Key skills include algorithms, c++, java, system design, react, microservices, object oriented programming, javascript. Familiar with tools such as git, jenkins, postman, docker. Education, Diploma in relevant discipline.",Software Development
"Data Analyst Intern with 1 years of experience. Worked on classification and regression problems for real world applications. Key skills include scikit learn, machine learning, nlp, python, statistics, tensorflow. Familiar with tools such as power bi, jupyter notebook, git, tableau. Education, Bachelor of Science, graduated with distinction.",Data Science
"Backend Developer with 5 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include object oriented programming, python, microservices, system design, rest api, algorithms, java, react. Familiar with tools such as aws, postman, jenkins. Education, Bachelor of Science, graduated with distinction.",Software Development
"Business Development Associate with 4 years of experience. Generated new business leads and converted them into long term clients. Key skills include target achievement, negotiation, cold calling, customer retention, market research. Familiar with tools such as zoho crm, excel, hubspot. Education, Master of Business Administration.",Sales
"Front End Developer with 5 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include adobe xd, bootstrap, ux research, photoshop, wireframing, ui design, html, react. Familiar with tools such as adobe xd, vs code, figma, git. Education, Bachelor of Engineering.",Web Designing
"HR Generalist with 1 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include employee engagement, payroll, conflict resolution, hr policies, performance management, employee relations. Familiar with tools such as sap successfactors, excel, workday. Education, Master of Business Administration.",Human Resources
"Backend Developer with 2 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include algorithms, react, microservices, python, node js, data structures, object oriented programming, c++. Familiar with tools such as postman, git, aws. Education, Bachelor of Technology in relevant field.",Software Development
"Sales Executive with 4 years of experience. Generated new business leads and converted them into long term clients. Key skills include customer retention, b2b sales, lead generation, market research, crm, negotiation. Familiar with tools such as zoho crm, excel. Education, Bachelor of Technology in relevant field.",Sales
"Mechanical Engineer with 2 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include product design, project planning, solidworks, quality control, manufacturing processes, thermodynamics, six sigma, cad modeling. Familiar with tools such as autocad, ansys. Education, Bachelor of Engineering.",Mechanical Engineering
"Account Manager with 6 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include crm, cold calling, negotiation, customer retention, sales forecasting, target achievement, client relationship management, lead generation. Familiar with tools such as hubspot, salesforce. Education, Diploma in relevant discipline.",Sales
"UI UX Designer with 8 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include adobe xd, ui design, responsive design, wireframing, ux research, react. Familiar with tools such as figma, vs code. Education, Bachelor of Engineering.",Web Designing
"Web Designer with 6 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include javascript, html, react, figma, adobe xd, ux research, css, bootstrap. Familiar with tools such as git, figma, vs code, adobe xd. Education, Bachelor of Technology in relevant field.",Web Designing
"Production Engineer with 7 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include quality control, solidworks, product design, thermodynamics, six sigma, manufacturing processes, project planning, root cause analysis. Familiar with tools such as ms project, ansys, solidworks, autocad. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"HR Executive with 5 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include recruitment, employee engagement, performance management, talent acquisition, employee relations, labor law, payroll, conflict resolution. Familiar with tools such as workday, excel. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Account Manager with 1 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include sales forecasting, b2b sales, cold calling, negotiation, customer retention, target achievement, crm. Familiar with tools such as salesforce, excel, zoho crm. Education, Bachelor of Science, graduated with distinction.",Sales
"HR Executive with 1 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include hr policies, onboarding, payroll, recruitment, employee relations, talent acquisition, conflict resolution, performance management. Familiar with tools such as sap successfactors, linkedin recruiter. Education, Master of Business Administration.",Human Resources
"Business Development Associate with 4 years of experience. Generated new business leads and converted them into long term clients. Key skills include negotiation, client relationship management, cold calling, market research, b2b sales, sales forecasting, lead generation. Familiar with tools such as excel, hubspot, salesforce, zoho crm. Education, Bachelor of Engineering.",Sales
"Sales Executive with 1 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include customer retention, crm, lead generation, cold calling, sales forecasting, client relationship management, negotiation, b2b sales. Familiar with tools such as salesforce, excel, zoho crm. Education, Bachelor of Engineering.",Sales
"HR Generalist with 8 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include payroll, recruitment, onboarding, talent acquisition, labor law, employee engagement. Familiar with tools such as linkedin recruiter, workday, sap successfactors. Education, Diploma in relevant discipline.",Human Resources
"Web Designer with 2 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include bootstrap, ux research, adobe xd, javascript, html, photoshop, figma. Familiar with tools such as vs code, adobe xd. Education, Bachelor of Technology in relevant field.",Web Designing
"Account Manager with 4 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include lead generation, cold calling, market research, customer retention, negotiation. Familiar with tools such as hubspot, salesforce, excel. Education, Diploma in relevant discipline.",Sales
"HR Executive with 6 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include recruitment, onboarding, conflict resolution, employee relations, performance management, labor law, employee engagement. Familiar with tools such as linkedin recruiter, workday. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Data Scientist with 4 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include nlp, pandas, python, data visualization, feature engineering, statistics, machine learning. Familiar with tools such as docker, power bi. Education, Bachelor of Technology in relevant field.",Data Science
"Backend Developer with 7 years of experience. Built REST APIs and integrated them with front end applications. Key skills include java, microservices, node js, c++, algorithms, system design, object oriented programming, react. Familiar with tools such as aws, jenkins, docker, postman. Education, Bachelor of Engineering.",Software Development
"Data Scientist with 1 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include pytorch, pandas, machine learning, statistics, deep learning, feature engineering. Familiar with tools such as power bi, tableau. Education, Bachelor of Technology in relevant field.",Data Science
"Data Scientist with 3 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include machine learning, data visualization, pandas, nlp, scikit learn, tensorflow. Familiar with tools such as power bi, jupyter notebook, git. Education, Diploma in relevant discipline.",Data Science
"Design Engineer with 1 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include six sigma, cad modeling, manufacturing processes, product design, thermodynamics, project planning, solidworks, autocad. Familiar with tools such as ansys, solidworks, ms project. Education, Master of Business Administration.",Mechanical Engineering
"Software Engineer with 5 years of experience. Built REST APIs and integrated them with front end applications. Key skills include data structures, algorithms, python, system design, react. Familiar with tools such as aws, jenkins. Education, Bachelor of Science, graduated with distinction.",Software Development
"Production Engineer with 2 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include autocad, product design, solidworks, root cause analysis, thermodynamics, cad modeling. Familiar with tools such as ms project, solidworks, autocad, ansys. Education, Bachelor of Technology in relevant field.",Mechanical Engineering
"HR Generalist with 1 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include employee relations, payroll, onboarding, hr policies, talent acquisition, recruitment, conflict resolution, employee engagement. Familiar with tools such as excel, workday, sap successfactors. Education, Bachelor of Technology in relevant field.",Human Resources
"Sales Executive with 7 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include cold calling, target achievement, crm, negotiation, lead generation, sales forecasting, customer retention. Familiar with tools such as salesforce, zoho crm. Education, Bachelor of Technology in relevant field.",Sales
"HR Executive with 5 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include employee engagement, employee relations, labor law, hr policies, performance management, conflict resolution. Familiar with tools such as workday, linkedin recruiter, excel. Education, Bachelor of Engineering.",Human Resources
"Business Development Associate with 2 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include client relationship management, lead generation, cold calling, negotiation, customer retention, target achievement. Familiar with tools such as excel, salesforce. Education, Diploma in relevant discipline.",Sales
"Business Development Associate with 1 years of experience. Generated new business leads and converted them into long term clients. Key skills include b2b sales, negotiation, sales forecasting, crm, cold calling, target achievement, market research, lead generation. Familiar with tools such as salesforce, hubspot, excel, zoho crm. Education, Master of Business Administration.",Sales
"Backend Developer with 6 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include java, system design, data structures, object oriented programming, python. Familiar with tools such as aws, docker, jenkins, git. Education, Bachelor of Technology in relevant field.",Software Development
"Software Engineer with 8 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include c++, algorithms, system design, data structures, object oriented programming. Familiar with tools such as aws, jenkins, postman, docker. Education, Bachelor of Technology in relevant field.",Software Development
"Data Scientist with 4 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include statistics, data visualization, pandas, scikit learn, tensorflow, pytorch, numpy, python. Familiar with tools such as docker, tableau, power bi, jupyter notebook. Education, Bachelor of Technology in relevant field.",Data Science
"UI UX Designer with 7 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include ui design, bootstrap, responsive design, adobe xd, css, javascript. Familiar with tools such as adobe xd, figma, vs code. Education, Master of Business Administration.",Web Designing
"Production Engineer with 4 years of experience. Worked on the production floor to improve process efficiency and reduce waste. Key skills include quality control, cad modeling, manufacturing processes, thermodynamics, solidworks, project planning, six sigma. Familiar with tools such as solidworks, autocad, ms project, ansys. Education, Diploma in relevant discipline.",Mechanical Engineering
"HR Generalist with 2 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include hr policies, labor law, performance management, conflict resolution, recruitment, employee relations. Familiar with tools such as excel, workday. Education, Bachelor of Engineering.",Human Resources
"Business Development Associate with 7 years of experience. Consistently exceeded monthly sales targets through strong client relationships. Key skills include sales forecasting, lead generation, cold calling, b2b sales, target achievement, customer retention, client relationship management, crm. Familiar with tools such as salesforce, excel, zoho crm, hubspot. Education, Diploma in relevant discipline.",Sales
"Machine Learning Engineer with 7 years of experience. Worked on classification and regression problems for real world applications. Key skills include pandas, sql, feature engineering, deep learning, statistics, data visualization. Familiar with tools such as jupyter notebook, tableau, git. Education, Bachelor of Technology in relevant field.",Data Science
"Production Engineer with 8 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include thermodynamics, manufacturing processes, cad modeling, project planning, autocad, quality control. Familiar with tools such as solidworks, ms project, ansys, autocad. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"HR Generalist with 5 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include labor law, employee engagement, talent acquisition, hr policies, performance management, employee relations, payroll. Familiar with tools such as excel, sap successfactors. Education, Diploma in relevant discipline.",Human Resources
"Backend Developer with 1 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include algorithms, node js, object oriented programming, microservices, python. Familiar with tools such as jenkins, docker, git. Education, Bachelor of Science, graduated with distinction.",Software Development
"Data Scientist with 2 years of experience. Worked on classification and regression problems for real world applications. Key skills include data visualization, python, pandas, deep learning, machine learning, scikit learn, feature engineering. Familiar with tools such as docker, jupyter notebook. Education, Diploma in relevant discipline.",Data Science
"Talent Acquisition Specialist with 6 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include payroll, hr policies, recruitment, talent acquisition, employee relations, employee engagement. Familiar with tools such as linkedin recruiter, sap successfactors, workday, excel. Education, Master of Business Administration.",Human Resources
"Mechanical Engineer with 2 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include project planning, manufacturing processes, thermodynamics, product design, autocad, solidworks, quality control. Familiar with tools such as ms project, solidworks. Education, Master of Business Administration.",Mechanical Engineering
"Data Scientist with 8 years of experience. Worked on classification and regression problems for real world applications. Key skills include python, deep learning, pandas, statistics, scikit learn. Familiar with tools such as git, tableau, power bi. Education, Bachelor of Engineering.",Data Science
"Business Development Associate with 8 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include crm, lead generation, b2b sales, client relationship management, target achievement. Familiar with tools such as zoho crm, hubspot, excel. Education, Diploma in relevant discipline.",Sales
"UI UX Designer with 1 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include react, ux research, css, figma, bootstrap, ui design. Familiar with tools such as adobe xd, figma. Education, Master of Business Administration.",Web Designing
"Talent Acquisition Specialist with 2 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include performance management, employee relations, talent acquisition, recruitment, employee engagement, payroll. Familiar with tools such as sap successfactors, linkedin recruiter, workday. Education, Master of Business Administration.",Human Resources
"Data Analyst Intern with 8 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include deep learning, machine learning, numpy, scikit learn, nlp, pandas, python, tensorflow. Familiar with tools such as power bi, docker. Education, Bachelor of Technology in relevant field.",Data Science
"HR Executive with 6 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include employee engagement, recruitment, talent acquisition, hr policies, employee relations, labor law, payroll, onboarding. Familiar with tools such as sap successfactors, excel. Education, Diploma in relevant discipline.",Human Resources
"HR Executive with 1 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include talent acquisition, employee engagement, employee relations, hr policies, labor law, onboarding, performance management, conflict resolution. Familiar with tools such as linkedin recruiter, workday, excel, sap successfactors. Education, Bachelor of Technology in relevant field.",Human Resources
"Machine Learning Engineer with 7 years of experience. Worked on classification and regression problems for real world applications. Key skills include machine learning, numpy, pandas, python, feature engineering, nlp. Familiar with tools such as docker, power bi, tableau, jupyter notebook. Education, Master of Business Administration.",Data Science
"Machine Learning Engineer with 6 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include sql, tensorflow, scikit learn, machine learning, python. Familiar with tools such as git, jupyter notebook, power bi, docker. Education, Bachelor of Technology in relevant field.",Data Science
"Design Engineer with 1 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include six sigma, solidworks, product design, thermodynamics, manufacturing processes, quality control. Familiar with tools such as autocad, ms project. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"Software Engineer with 6 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include rest api, object oriented programming, node js, javascript, microservices. Familiar with tools such as jenkins, docker. Education, Bachelor of Technology in relevant field.",Software Development
"Full Stack Developer with 5 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include object oriented programming, python, data structures, microservices, node js, system design. Familiar with tools such as postman, jenkins. Education, Bachelor of Technology in relevant field.",Software Development
"Web Designer with 1 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include ui design, bootstrap, html, figma, responsive design, javascript, adobe xd, react. Familiar with tools such as vs code, git, adobe xd, figma. Education, Bachelor of Science, graduated with distinction.",Web Designing
"Machine Learning Engineer with 2 years of experience. Worked on classification and regression problems for real world applications. Key skills include nlp, data visualization, sql, scikit learn, pandas, statistics. Familiar with tools such as git, power bi, tableau, docker. Education, Bachelor of Technology in relevant field.",Data Science
"Design Engineer with 2 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include project planning, six sigma, quality control, cad modeling, product design, thermodynamics, autocad, manufacturing processes. Familiar with tools such as autocad, solidworks, ms project, ansys. Education, Bachelor of Technology in relevant field.",Mechanical Engineering
"Front End Developer with 8 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include react, ui design, ux research, css, photoshop. Familiar with tools such as git, figma, adobe xd. Education, Diploma in relevant discipline.",Web Designing
"Sales Executive with 8 years of experience. Consistently exceeded monthly sales targets through strong client relationships. Key skills include customer retention, negotiation, b2b sales, target achievement, market research, lead generation, sales forecasting. Familiar with tools such as zoho crm, salesforce. Education, Diploma in relevant discipline.",Sales
"Web Designer with 6 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include wireframing, css, bootstrap, javascript, ux research, adobe xd. Familiar with tools such as vs code, figma, adobe xd, git. Education, Master of Business Administration.",Web Designing
"Front End Developer with 2 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include react, wireframing, javascript, adobe xd, css, figma. Familiar with tools such as git, vs code. Education, Master of Business Administration.",Web Designing
"Business Development Associate with 4 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include b2b sales, sales forecasting, customer retention, negotiation, lead generation. Familiar with tools such as zoho crm, salesforce, hubspot, excel. Education, Master of Business Administration.",Sales
"Mechanical Engineer with 3 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include manufacturing processes, solidworks, cad modeling, quality control, root cause analysis, six sigma. Familiar with tools such as ansys, solidworks, ms project, autocad. Education, Bachelor of Science, graduated with distinction.",Mechanical Engineering
"HR Generalist with 3 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include payroll, onboarding, talent acquisition, performance management, hr policies, employee relations. Familiar with tools such as workday, linkedin recruiter. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Account Manager with 1 years of experience. Consistently exceeded monthly sales targets through strong client relationships. Key skills include sales forecasting, lead generation, b2b sales, market research, negotiation. Familiar with tools such as hubspot, salesforce, excel, zoho crm. Education, Master of Business Administration.",Sales
"HR Executive with 5 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include employee relations, performance management, recruitment, talent acquisition, employee engagement, labor law, conflict resolution, onboarding. Familiar with tools such as linkedin recruiter, excel, sap successfactors. Education, Diploma in relevant discipline.",Human Resources
"HR Executive with 7 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include onboarding, hr policies, performance management, employee engagement, labor law, payroll, conflict resolution, talent acquisition. Familiar with tools such as sap successfactors, linkedin recruiter. Education, Master of Business Administration.",Human Resources
"UI UX Designer with 7 years of experience. Worked closely with developers to turn design mockups into working pages. Key skills include ui design, javascript, ux research, react, css. Familiar with tools such as figma, adobe xd, git, vs code. Education, Bachelor of Science, graduated with distinction.",Web Designing
"Talent Acquisition Specialist with 5 years of experience. Coordinated with department heads to plan hiring and workforce needs. Key skills include onboarding, employee relations, employee engagement, payroll, talent acquisition, conflict resolution. Familiar with tools such as excel, linkedin recruiter. Education, Bachelor of Technology in relevant field.",Human Resources
"Machine Learning Engineer with 6 years of experience. Worked on classification and regression problems for real world applications. Key skills include feature engineering, scikit learn, pandas, tensorflow, nlp, pytorch, deep learning, numpy. Familiar with tools such as docker, jupyter notebook, power bi, git. Education, Diploma in relevant discipline.",Data Science
"UI UX Designer with 3 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include css, html, adobe xd, photoshop, responsive design, ui design. Familiar with tools such as git, adobe xd, figma, vs code. Education, Bachelor of Science, graduated with distinction.",Web Designing
"Account Manager with 2 years of experience. Generated new business leads and converted them into long term clients. Key skills include target achievement, cold calling, negotiation, crm, b2b sales. Familiar with tools such as excel, salesforce. Education, Master of Business Administration.",Sales
"Backend Developer with 6 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include c++, object oriented programming, react, microservices, java, node js. Familiar with tools such as docker, git. Education, Bachelor of Engineering.",Software Development
"Business Development Associate with 2 years of experience. Generated new business leads and converted them into long term clients. Key skills include crm, target achievement, b2b sales, customer retention, market research, sales forecasting, client relationship management, cold calling. Familiar with tools such as zoho crm, salesforce. Education, Bachelor of Technology in relevant field.",Sales
"Data Analyst Intern with 2 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include numpy, pandas, tensorflow, feature engineering, scikit learn. Familiar with tools such as jupyter notebook, tableau, power bi. Education, Bachelor of Engineering.",Data Science
"Mechanical Engineer with 7 years of experience. Designed mechanical components and validated them using simulation tools. Key skills include thermodynamics, root cause analysis, cad modeling, project planning, product design. Familiar with tools such as autocad, ms project, solidworks, ansys. Education, Diploma in relevant discipline.",Mechanical Engineering
"Data Scientist with 5 years of experience. Worked on classification and regression problems for real world applications. Key skills include data visualization, nlp, machine learning, tensorflow, sql, pytorch, feature engineering, statistics. Familiar with tools such as docker, jupyter notebook. Education, Bachelor of Science, graduated with distinction.",Data Science
"UI UX Designer with 7 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include adobe xd, photoshop, bootstrap, react, ux research, figma. Familiar with tools such as vs code, adobe xd, figma. Education, Bachelor of Engineering.",Web Designing
"Software Engineer with 2 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include system design, data structures, object oriented programming, python, microservices, rest api, react, java. Familiar with tools such as aws, postman, jenkins. Education, Diploma in relevant discipline.",Software Development
"Sales Executive with 4 years of experience. Consistently exceeded monthly sales targets through strong client relationships. Key skills include market research, negotiation, cold calling, target achievement, b2b sales, sales forecasting, customer retention. Familiar with tools such as zoho crm, salesforce. Education, Bachelor of Science, graduated with distinction.",Sales
"Data Analyst Intern with 1 years of experience. Experienced in cleaning large datasets and turning them into useful insights. Key skills include machine learning, tensorflow, scikit learn, deep learning, pytorch, nlp, data visualization. Familiar with tools such as power bi, jupyter notebook, git. Education, Master of Business Administration.",Data Science
"Front End Developer with 8 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include javascript, adobe xd, ux research, bootstrap, photoshop. Familiar with tools such as vs code, adobe xd. Education, Bachelor of Technology in relevant field.",Web Designing
"Sales Executive with 4 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include crm, negotiation, cold calling, customer retention, market research, lead generation, client relationship management, target achievement. Familiar with tools such as excel, zoho crm, salesforce, hubspot. Education, Bachelor of Engineering.",Sales
"Full Stack Developer with 3 years of experience. Built REST APIs and integrated them with front end applications. Key skills include javascript, data structures, object oriented programming, c++, java, algorithms, microservices, rest api. Familiar with tools such as jenkins, git, docker, aws. Education, Diploma in relevant discipline.",Software Development
"Data Scientist with 1 years of experience. Worked on classification and regression problems for real world applications. Key skills include statistics, nlp, data visualization, pytorch, pandas, python, scikit learn. Familiar with tools such as power bi, docker, jupyter notebook, git. Education, Bachelor of Engineering.",Data Science
"Full Stack Developer with 4 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include react, system design, algorithms, java, python, node js. Familiar with tools such as docker, aws, postman, git. Education, Bachelor of Technology in relevant field.",Software Development
"Talent Acquisition Specialist with 8 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include conflict resolution, labor law, hr policies, recruitment, payroll, employee engagement, onboarding, performance management. Familiar with tools such as excel, workday, linkedin recruiter. Education, Bachelor of Science, graduated with distinction.",Human Resources
"Full Stack Developer with 5 years of experience. Developed and maintained scalable web applications for enterprise clients. Key skills include system design, node js, c++, algorithms, react, object oriented programming, data structures, microservices. Familiar with tools such as git, aws, postman, jenkins. Education, Bachelor of Technology in relevant field.",Software Development
"Full Stack Developer with 3 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include algorithms, microservices, c++, system design, python, java, react, node js. Familiar with tools such as git, postman, aws. Education, Bachelor of Technology in relevant field.",Software Development
"Data Analyst Intern with 6 years of experience. Worked on classification and regression problems for real world applications. Key skills include scikit learn, numpy, statistics, data visualization, python, nlp, sql, pytorch. Familiar with tools such as tableau, git, power bi. Education, Bachelor of Engineering.",Data Science
"UI UX Designer with 2 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include ui design, figma, adobe xd, ux research, bootstrap, javascript. Familiar with tools such as git, adobe xd, figma. Education, Bachelor of Engineering.",Web Designing
"UI UX Designer with 2 years of experience. Created wireframes and prototypes before moving into visual design. Key skills include bootstrap, adobe xd, figma, responsive design, photoshop. Familiar with tools such as git, vs code, figma, adobe xd. Education, Bachelor of Science, graduated with distinction.",Web Designing
"Software Engineer with 7 years of experience. Wrote clean and testable code while collaborating with cross functional teams. Key skills include microservices, system design, c++, data structures, java, node js, javascript, python. Familiar with tools such as docker, git, postman. Education, Master of Business Administration.",Software Development
"Data Scientist with 1 years of experience. Worked on classification and regression problems for real world applications. Key skills include numpy, data visualization, python, machine learning, statistics, nlp, tensorflow, pytorch. Familiar with tools such as power bi, tableau, jupyter notebook, git. Education, Bachelor of Engineering.",Data Science
"Data Scientist with 1 years of experience. Built predictive models to solve business problems using structured and unstructured data. Key skills include deep learning, numpy, pytorch, machine learning, feature engineering. Familiar with tools such as git, docker, power bi, jupyter notebook. Education, Bachelor of Science, graduated with distinction.",Data Science
"Mechanical Engineer with 8 years of experience. Prepared detailed technical drawings for manufacturing teams. Key skills include six sigma, autocad, project planning, quality control, manufacturing processes, root cause analysis. Familiar with tools such as autocad, solidworks, ms project. Education, Bachelor of Engineering.",Mechanical Engineering
"Account Manager with 1 years of experience. Consistently exceeded monthly sales targets through strong client relationships. Key skills include customer retention, b2b sales, lead generation, negotiation, sales forecasting. Familiar with tools such as hubspot, zoho crm. Education, Master of Business Administration.",Sales
"Talent Acquisition Specialist with 7 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include payroll, performance management, hr policies, employee relations, talent acquisition, recruitment, labor law, conflict resolution. Familiar with tools such as sap successfactors, excel, workday, linkedin recruiter. Education, Bachelor of Technology in relevant field.",Human Resources
"HR Generalist with 6 years of experience. Managed end to end recruitment cycles for multiple departments. Key skills include performance management, talent acquisition, payroll, onboarding, employee relations, employee engagement, hr policies. Familiar with tools such as excel, sap successfactors. Education, Diploma in relevant discipline.",Human Resources
"UI UX Designer with 3 years of experience. Designed clean and responsive websites focused on good user experience. Key skills include bootstrap, javascript, css, responsive design, ui design, wireframing, photoshop. Familiar with tools such as figma, vs code, adobe xd. Education, Bachelor of Science, graduated with distinction.",Web Designing
"HR Executive with 6 years of experience. Handled employee onboarding, engagement activities and grievance redressal. Key skills include employee relations, labor law, payroll, performance management, employee engagement. Familiar with tools such as linkedin recruiter, excel, sap successfactors, workday. Education, Bachelor of Engineering.",Human Resources
"Account Manager with 7 years of experience. Managed a portfolio of key accounts and handled contract renewals. Key skills include negotiation, market research, target achievement, b2b sales, crm, cold calling, customer retention. Familiar with tools such as excel, salesforce. Education, Bachelor of Science, graduated with distinction.",Sales
"Backend Developer with 3 years of experience. Built REST APIs and integrated them with front end applications. Key skills include node js, python, react, microservices, object oriented programming. Familiar with tools such as docker, aws, jenkins. Education, Bachelor of Science, graduated with distinction.",Software Development
